system,error_rate,mean_edge,stderr_edge,mean_ev,trials,num_hands,num_decks
hi_lo,0.0,0.2528168726649135,0.03822420134296426,0.00414975,20,500000,6
hi_lo,0.02,0.185495987834795,0.04225569083660306,0.003053,20,500000,6
hi_lo,0.1,0.22718520707785292,0.04185918026079524,0.00374735,20,500000,6
hi_lo,0.25,0.22132624929363767,0.04671088267178991,0.0036825,20,500000,6
hi_lo,0.5,0.2931704286698628,0.05456974460074437,0.00494365,20,500000,6
ko,0.0,0.28976319728693684,0.03850884255879792,0.0050495,20,500000,6
ko,0.02,0.2581869878915148,0.06429202468876688,0.0044982,20,500000,6
ko,0.1,0.32612850825147627,0.037748845801370626,0.00567115,20,500000,6
ko,0.25,0.32893845899032487,0.0566873082562202,0.0057586,20,500000,6
ko,0.5,0.34220211902470027,0.034458113523813366,0.00597425,20,500000,6
zen,0.0,0.435368509051779,0.04703647125885973,0.01002725,20,500000,6
zen,0.02,0.39471946597894486,0.038917393898036834,0.00908645,20,500000,6
zen,0.1,0.4073476459010605,0.03708225984982616,0.00940745,20,500000,6
zen,0.25,0.40329946803252875,0.040333271353368116,0.00934265,20,500000,6
zen,0.5,0.46030564437549265,0.04537126319129737,0.010766650000000001,20,500000,6
